; ISO 3166-2:SO
; Source: https://www.iso.org/obp/ui/#iso:code:3166:SO
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
region	SO-AW*	Awdal		so		
region	SO-BK*	Bakool		so		
region	SO-BN*	Banaadir		so		
region	SO-BR*	Bari		so		
region	SO-BY*	Bay		so		
region	SO-GA*	Galguduud		so		
region	SO-GE*	Gedo		so		
region	SO-HI*	Hiiraan		so		
region	SO-JD*	Jubbada Dhexe		so		
region	SO-JH*	Jubbada Hoose		so		
region	SO-MU*	Mudug		so		
region	SO-NU*	Nugaal		so		
region	SO-SA*	Sanaag		so		
region	SO-SD*	Shabeellaha Dhexe		so		
region	SO-SH*	Shabeellaha Hoose		so		
region	SO-SO*	Sool		so		
region	SO-TO*	Togdheer		so		
region	SO-WO*	Woqooyi Galbeed		so		
