; ISO 3166-2:VE
; Source: https://www.iso.org/obp/ui/#iso:code:3166:VE
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
state	VE-Z	Amazonas		es		
state	VE-B	Anzoátegui		es		
state	VE-C	Apure		es		
state	VE-D	Aragua		es		
state	VE-E	Barinas		es		
state	VE-F	Bolívar		es		
state	VE-G	Carabobo		es		
state	VE-H	Cojedes		es		
state	VE-Y	Delta Amacuro		es		
federal dependency	VE-W*	Dependencias Federales		es		
capital district	VE-A	Distrito Capital		es		
state	VE-I	Falcón		es		
state	VE-J	Guárico		es		
state	VE-X*	La Guaira		es		
state	VE-K	Lara		es		
state	VE-M	Miranda		es		
state	VE-N	Monagas		es		
state	VE-L	Mérida		es		
state	VE-O	Nueva Esparta		es		
state	VE-P	Portuguesa		es		
state	VE-R	Sucre		es		
state	VE-T	Trujillo		es		
state	VE-S	Táchira		es		
state	VE-U	Yaracuy		es		
state	VE-V	Zulia		es		
